# timestamp;hostname;version;nRanks;rankNo;durationParaview1D;n;durationParaview1DInit;n;durationParaview2D;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationWriteOutputParaview;n;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;scenarioName;totalUsertime;
2024/6/28 21:38:20;lukas-VirtualBox-Ubuntu;opendihu 1.3, built Apr  4 2024, C++ 201402, GCC 11.4.0;1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;2.674e-06;1;0.0;0;Segmentation fault;11;249311232;4096;52658176;538083328;incompressible_mooney_rivlin;0.76;
# timestamp;hostname;version;nRanks;rankNo;durationInitCellml;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview2D;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationWriteOutput;n;durationWriteOutputParaview;n;anonymous0_preconditionerType;anonymous0_solverType;dt_0D;dt_1D;dt_3D;dt_splitting;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nDofs;nElements;nInstancesComputedGlobally;nNodes;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;
2024/6/28 22:29:32;lukas-VirtualBox-Ubuntu;opendihu 1.3, built Apr  4 2024, C++ 201402, GCC 11.4.0;1;0;1.531;100;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;3.959e-06;1;7.452e-05;100;0.0;0;lu;preonly;0.001;0.002;0.1;0.002;Segmentation fault;11;496824320;4096;176627712;785596416;1;0;100;1;incompressible_mooney_rivlin;2.24;1225;108;1225;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationWriteOutput;n;durationWriteOutputParaview;n;durationWriteOutputPythonCallback;n;durationWriteOutputPythonFile;n;duration_0D;n;duration_1D;n;duration_3D;n;duration_3D_advanceTimeSpan1;n;duration_3D_advanceTimeSpan2;n;duration_3D_durationSolve;n;duration_3D_transfer12;n;duration_3D_transfer21;n;duration_mechanics;n;duration_mechanics_durationSolve;n;anonymous0_preconditionerType;anonymous0_solverType;anonymous100_preconditionerType;anonymous100_solverType;anonymous101_preconditionerType;anonymous101_solverType;anonymous10_preconditionerType;anonymous10_solverType;anonymous11_preconditionerType;anonymous11_solverType;anonymous12_preconditionerType;anonymous12_solverType;anonymous13_preconditionerType;anonymous13_solverType;anonymous14_preconditionerType;anonymous14_solverType;anonymous15_preconditionerType;anonymous15_solverType;anonymous16_preconditionerType;anonymous16_solverType;anonymous17_preconditionerType;anonymous17_solverType;anonymous18_preconditionerType;anonymous18_solverType;anonymous19_preconditionerType;anonymous19_solverType;anonymous1_preconditionerType;anonymous1_solverType;anonymous20_preconditionerType;anonymous20_solverType;anonymous21_preconditionerType;anonymous21_solverType;anonymous22_preconditionerType;anonymous22_solverType;anonymous23_preconditionerType;anonymous23_solverType;anonymous24_preconditionerType;anonymous24_solverType;anonymous25_preconditionerType;anonymous25_solverType;anonymous26_preconditionerType;anonymous26_solverType;anonymous27_preconditionerType;anonymous27_solverType;anonymous28_preconditionerType;anonymous28_solverType;anonymous29_preconditionerType;anonymous29_solverType;anonymous2_preconditionerType;anonymous2_solverType;anonymous30_preconditionerType;anonymous30_solverType;anonymous31_preconditionerType;anonymous31_solverType;anonymous32_preconditionerType;anonymous32_solverType;anonymous33_preconditionerType;anonymous33_solverType;anonymous34_preconditionerType;anonymous34_solverType;anonymous35_preconditionerType;anonymous35_solverType;anonymous36_preconditionerType;anonymous36_solverType;anonymous37_preconditionerType;anonymous37_solverType;anonymous38_preconditionerType;anonymous38_solverType;anonymous39_preconditionerType;anonymous39_solverType;anonymous3_preconditionerType;anonymous3_solverType;anonymous40_preconditionerType;anonymous40_solverType;anonymous41_preconditionerType;anonymous41_solverType;anonymous42_preconditionerType;anonymous42_solverType;anonymous43_preconditionerType;anonymous43_solverType;anonymous44_preconditionerType;anonymous44_solverType;anonymous45_preconditionerType;anonymous45_solverType;anonymous46_preconditionerType;anonymous46_solverType;anonymous47_preconditionerType;anonymous47_solverType;anonymous48_preconditionerType;anonymous48_solverType;anonymous49_preconditionerType;anonymous49_solverType;anonymous4_preconditionerType;anonymous4_solverType;anonymous50_preconditionerType;anonymous50_solverType;anonymous51_preconditionerType;anonymous51_solverType;anonymous52_preconditionerType;anonymous52_solverType;anonymous53_preconditionerType;anonymous53_solverType;anonymous54_preconditionerType;anonymous54_solverType;anonymous55_preconditionerType;anonymous55_solverType;anonymous56_preconditionerType;anonymous56_solverType;anonymous57_preconditionerType;anonymous57_solverType;anonymous58_preconditionerType;anonymous58_solverType;anonymous59_preconditionerType;anonymous59_solverType;anonymous5_preconditionerType;anonymous5_solverType;anonymous60_preconditionerType;anonymous60_solverType;anonymous61_preconditionerType;anonymous61_solverType;anonymous62_preconditionerType;anonymous62_solverType;anonymous63_preconditionerType;anonymous63_solverType;anonymous64_preconditionerType;anonymous64_solverType;anonymous65_preconditionerType;anonymous65_solverType;anonymous66_preconditionerType;anonymous66_solverType;anonymous67_preconditionerType;anonymous67_solverType;anonymous68_preconditionerType;anonymous68_solverType;anonymous69_preconditionerType;anonymous69_solverType;anonymous6_preconditionerType;anonymous6_solverType;anonymous70_preconditionerType;anonymous70_solverType;anonymous71_preconditionerType;anonymous71_solverType;anonymous72_preconditionerType;anonymous72_solverType;anonymous73_preconditionerType;anonymous73_solverType;anonymous74_preconditionerType;anonymous74_solverType;anonymous75_preconditionerType;anonymous75_solverType;anonymous76_preconditionerType;anonymous76_solverType;anonymous77_preconditionerType;anonymous77_solverType;anonymous78_preconditionerType;anonymous78_solverType;anonymous79_preconditionerType;anonymous79_solverType;anonymous7_preconditionerType;anonymous7_solverType;anonymous80_preconditionerType;anonymous80_solverType;anonymous81_preconditionerType;anonymous81_solverType;anonymous82_preconditionerType;anonymous82_solverType;anonymous83_preconditionerType;anonymous83_solverType;anonymous84_preconditionerType;anonymous84_solverType;anonymous85_preconditionerType;anonymous85_solverType;anonymous86_preconditionerType;anonymous86_solverType;anonymous87_preconditionerType;anonymous87_solverType;anonymous88_preconditionerType;anonymous88_solverType;anonymous89_preconditionerType;anonymous89_solverType;anonymous8_preconditionerType;anonymous8_solverType;anonymous90_preconditionerType;anonymous90_solverType;anonymous91_preconditionerType;anonymous91_solverType;anonymous92_preconditionerType;anonymous92_solverType;anonymous93_preconditionerType;anonymous93_solverType;anonymous94_preconditionerType;anonymous94_solverType;anonymous95_preconditionerType;anonymous95_solverType;anonymous96_preconditionerType;anonymous96_solverType;anonymous97_preconditionerType;anonymous97_solverType;anonymous98_preconditionerType;anonymous98_solverType;anonymous99_preconditionerType;anonymous99_solverType;anonymous9_preconditionerType;anonymous9_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;endTime;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nDofs;nElements;nInstancesComputedGlobally;nNodes;scenarioName;totalUsertime;~nDofs;~nDofsmesh3D;~nElements;~nElementsmesh3D;~nNodes;~nNodesmesh3D;
2024/6/28 22:34:28;lukas-VirtualBox-Ubuntu;opendihu 1.3, built Apr  4 2024, C++ 201402, GCC 11.4.0;1;0;0.000104699;100;0.0517677;101;0.223882;100;0.195242;2010;0.0211029;20;0.000796703;20;0.442092;40;0.00787474;7;8.119e-06;1;0.140224;10;0.00899266;40;5.8381e-05;6;0.125117;40;0.012005;8;1.5647e-05;2;0.0553932;30;0.579805;40;6.807e-06;1;1.2758e-05;100;0.0166773;100;1.2592;291;0.58048;40;0.138755;30;0.539041;20;0.0321657;1000;0.0481247;499;3.78784;30;0.614091;10;3.65069;10;1.5464;10;0.1279;10;0.148551;10;0.592721;10;0.00502348;10;lu;preonly;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;1.000000;0.001;0.002;0.1;0.002;1;normal;;1086865408;4096;351162368;1376407552;27;1;100;27;incompressible_mooney_rivlin;7.08;100;1225;99;108;100;1225;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationWriteOutput;n;durationWriteOutputParaview;n;durationWriteOutputPythonCallback;n;durationWriteOutputPythonFile;n;duration_0D;n;duration_1D;n;duration_3D;n;duration_3D_advanceTimeSpan1;n;duration_3D_advanceTimeSpan2;n;duration_3D_durationSolve;n;duration_3D_transfer12;n;duration_3D_transfer21;n;duration_mechanics;n;duration_mechanics_durationSolve;n;anonymous0_preconditionerType;anonymous0_solverType;anonymous100_preconditionerType;anonymous100_solverType;anonymous101_preconditionerType;anonymous101_solverType;anonymous10_preconditionerType;anonymous10_solverType;anonymous11_preconditionerType;anonymous11_solverType;anonymous12_preconditionerType;anonymous12_solverType;anonymous13_preconditionerType;anonymous13_solverType;anonymous14_preconditionerType;anonymous14_solverType;anonymous15_preconditionerType;anonymous15_solverType;anonymous16_preconditionerType;anonymous16_solverType;anonymous17_preconditionerType;anonymous17_solverType;anonymous18_preconditionerType;anonymous18_solverType;anonymous19_preconditionerType;anonymous19_solverType;anonymous1_preconditionerType;anonymous1_solverType;anonymous20_preconditionerType;anonymous20_solverType;anonymous21_preconditionerType;anonymous21_solverType;anonymous22_preconditionerType;anonymous22_solverType;anonymous23_preconditionerType;anonymous23_solverType;anonymous24_preconditionerType;anonymous24_solverType;anonymous25_preconditionerType;anonymous25_solverType;anonymous26_preconditionerType;anonymous26_solverType;anonymous27_preconditionerType;anonymous27_solverType;anonymous28_preconditionerType;anonymous28_solverType;anonymous29_preconditionerType;anonymous29_solverType;anonymous2_preconditionerType;anonymous2_solverType;anonymous30_preconditionerType;anonymous30_solverType;anonymous31_preconditionerType;anonymous31_solverType;anonymous32_preconditionerType;anonymous32_solverType;anonymous33_preconditionerType;anonymous33_solverType;anonymous34_preconditionerType;anonymous34_solverType;anonymous35_preconditionerType;anonymous35_solverType;anonymous36_preconditionerType;anonymous36_solverType;anonymous37_preconditionerType;anonymous37_solverType;anonymous38_preconditionerType;anonymous38_solverType;anonymous39_preconditionerType;anonymous39_solverType;anonymous3_preconditionerType;anonymous3_solverType;anonymous40_preconditionerType;anonymous40_solverType;anonymous41_preconditionerType;anonymous41_solverType;anonymous42_preconditionerType;anonymous42_solverType;anonymous43_preconditionerType;anonymous43_solverType;anonymous44_preconditionerType;anonymous44_solverType;anonymous45_preconditionerType;anonymous45_solverType;anonymous46_preconditionerType;anonymous46_solverType;anonymous47_preconditionerType;anonymous47_solverType;anonymous48_preconditionerType;anonymous48_solverType;anonymous49_preconditionerType;anonymous49_solverType;anonymous4_preconditionerType;anonymous4_solverType;anonymous50_preconditionerType;anonymous50_solverType;anonymous51_preconditionerType;anonymous51_solverType;anonymous52_preconditionerType;anonymous52_solverType;anonymous53_preconditionerType;anonymous53_solverType;anonymous54_preconditionerType;anonymous54_solverType;anonymous55_preconditionerType;anonymous55_solverType;anonymous56_preconditionerType;anonymous56_solverType;anonymous57_preconditionerType;anonymous57_solverType;anonymous58_preconditionerType;anonymous58_solverType;anonymous59_preconditionerType;anonymous59_solverType;anonymous5_preconditionerType;anonymous5_solverType;anonymous60_preconditionerType;anonymous60_solverType;anonymous61_preconditionerType;anonymous61_solverType;anonymous62_preconditionerType;anonymous62_solverType;anonymous63_preconditionerType;anonymous63_solverType;anonymous64_preconditionerType;anonymous64_solverType;anonymous65_preconditionerType;anonymous65_solverType;anonymous66_preconditionerType;anonymous66_solverType;anonymous67_preconditionerType;anonymous67_solverType;anonymous68_preconditionerType;anonymous68_solverType;anonymous69_preconditionerType;anonymous69_solverType;anonymous6_preconditionerType;anonymous6_solverType;anonymous70_preconditionerType;anonymous70_solverType;anonymous71_preconditionerType;anonymous71_solverType;anonymous72_preconditionerType;anonymous72_solverType;anonymous73_preconditionerType;anonymous73_solverType;anonymous74_preconditionerType;anonymous74_solverType;anonymous75_preconditionerType;anonymous75_solverType;anonymous76_preconditionerType;anonymous76_solverType;anonymous77_preconditionerType;anonymous77_solverType;anonymous78_preconditionerType;anonymous78_solverType;anonymous79_preconditionerType;anonymous79_solverType;anonymous7_preconditionerType;anonymous7_solverType;anonymous80_preconditionerType;anonymous80_solverType;anonymous81_preconditionerType;anonymous81_solverType;anonymous82_preconditionerType;anonymous82_solverType;anonymous83_preconditionerType;anonymous83_solverType;anonymous84_preconditionerType;anonymous84_solverType;anonymous85_preconditionerType;anonymous85_solverType;anonymous86_preconditionerType;anonymous86_solverType;anonymous87_preconditionerType;anonymous87_solverType;anonymous88_preconditionerType;anonymous88_solverType;anonymous89_preconditionerType;anonymous89_solverType;anonymous8_preconditionerType;anonymous8_solverType;anonymous90_preconditionerType;anonymous90_solverType;anonymous91_preconditionerType;anonymous91_solverType;anonymous92_preconditionerType;anonymous92_solverType;anonymous93_preconditionerType;anonymous93_solverType;anonymous94_preconditionerType;anonymous94_solverType;anonymous95_preconditionerType;anonymous95_solverType;anonymous96_preconditionerType;anonymous96_solverType;anonymous97_preconditionerType;anonymous97_solverType;anonymous98_preconditionerType;anonymous98_solverType;anonymous99_preconditionerType;anonymous99_solverType;anonymous9_preconditionerType;anonymous9_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;endTime;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nDofs;nElements;nInstancesComputedGlobally;nNodes;scenarioName;totalUsertime;~nDofs;~nDofsmesh3D;~nElements;~nElementsmesh3D;~nNodes;~nNodesmesh3D;
2024/7/3 14:25:58;lukas-VirtualBox-Ubuntu;opendihu 1.3, built Apr  4 2024, C++ 201402, GCC 11.4.0;1;0;0.000134976;100;0.0501819;101;0.23226;100;0.187245;2010;0.0184211;20;0.000710376;20;0.380362;40;0.0067034;7;5.573e-06;1;0.11565;10;0.00781231;40;6.9816e-05;6;0.115066;40;0.0118343;8;1.4525e-05;2;0.0521808;30;0.506759;40;0.000821741;1;1.4433e-05;100;0.0179197;100;0.640884;291;0.507711;40;0.106708;30;0.0258258;20;0.0290881;1000;0.0440313;499;3.51377;30;0.536528;10;3.3833;10;1.44667;10;0.121099;10;0.140154;10;0.0636763;10;0.00408191;10;lu;preonly;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;1.000000;0.001;0.002;0.1;0.002;1;normal;;1086746624;4096;350584832;1376288768;27;1;100;27;incompressible_mooney_rivlin;6.91;100;1225;99;108;100;1225;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationWriteOutput;n;durationWriteOutputParaview;n;durationWriteOutputPythonCallback;n;durationWriteOutputPythonFile;n;duration_0D;n;duration_1D;n;duration_3D;n;duration_3D_advanceTimeSpan1;n;duration_3D_advanceTimeSpan2;n;duration_3D_durationSolve;n;duration_3D_transfer12;n;duration_3D_transfer21;n;duration_mechanics;n;duration_mechanics_durationSolve;n;anonymous0_preconditionerType;anonymous0_solverType;anonymous100_preconditionerType;anonymous100_solverType;anonymous101_preconditionerType;anonymous101_solverType;anonymous10_preconditionerType;anonymous10_solverType;anonymous11_preconditionerType;anonymous11_solverType;anonymous12_preconditionerType;anonymous12_solverType;anonymous13_preconditionerType;anonymous13_solverType;anonymous14_preconditionerType;anonymous14_solverType;anonymous15_preconditionerType;anonymous15_solverType;anonymous16_preconditionerType;anonymous16_solverType;anonymous17_preconditionerType;anonymous17_solverType;anonymous18_preconditionerType;anonymous18_solverType;anonymous19_preconditionerType;anonymous19_solverType;anonymous1_preconditionerType;anonymous1_solverType;anonymous20_preconditionerType;anonymous20_solverType;anonymous21_preconditionerType;anonymous21_solverType;anonymous22_preconditionerType;anonymous22_solverType;anonymous23_preconditionerType;anonymous23_solverType;anonymous24_preconditionerType;anonymous24_solverType;anonymous25_preconditionerType;anonymous25_solverType;anonymous26_preconditionerType;anonymous26_solverType;anonymous27_preconditionerType;anonymous27_solverType;anonymous28_preconditionerType;anonymous28_solverType;anonymous29_preconditionerType;anonymous29_solverType;anonymous2_preconditionerType;anonymous2_solverType;anonymous30_preconditionerType;anonymous30_solverType;anonymous31_preconditionerType;anonymous31_solverType;anonymous32_preconditionerType;anonymous32_solverType;anonymous33_preconditionerType;anonymous33_solverType;anonymous34_preconditionerType;anonymous34_solverType;anonymous35_preconditionerType;anonymous35_solverType;anonymous36_preconditionerType;anonymous36_solverType;anonymous37_preconditionerType;anonymous37_solverType;anonymous38_preconditionerType;anonymous38_solverType;anonymous39_preconditionerType;anonymous39_solverType;anonymous3_preconditionerType;anonymous3_solverType;anonymous40_preconditionerType;anonymous40_solverType;anonymous41_preconditionerType;anonymous41_solverType;anonymous42_preconditionerType;anonymous42_solverType;anonymous43_preconditionerType;anonymous43_solverType;anonymous44_preconditionerType;anonymous44_solverType;anonymous45_preconditionerType;anonymous45_solverType;anonymous46_preconditionerType;anonymous46_solverType;anonymous47_preconditionerType;anonymous47_solverType;anonymous48_preconditionerType;anonymous48_solverType;anonymous49_preconditionerType;anonymous49_solverType;anonymous4_preconditionerType;anonymous4_solverType;anonymous50_preconditionerType;anonymous50_solverType;anonymous51_preconditionerType;anonymous51_solverType;anonymous52_preconditionerType;anonymous52_solverType;anonymous53_preconditionerType;anonymous53_solverType;anonymous54_preconditionerType;anonymous54_solverType;anonymous55_preconditionerType;anonymous55_solverType;anonymous56_preconditionerType;anonymous56_solverType;anonymous57_preconditionerType;anonymous57_solverType;anonymous58_preconditionerType;anonymous58_solverType;anonymous59_preconditionerType;anonymous59_solverType;anonymous5_preconditionerType;anonymous5_solverType;anonymous60_preconditionerType;anonymous60_solverType;anonymous61_preconditionerType;anonymous61_solverType;anonymous62_preconditionerType;anonymous62_solverType;anonymous63_preconditionerType;anonymous63_solverType;anonymous64_preconditionerType;anonymous64_solverType;anonymous65_preconditionerType;anonymous65_solverType;anonymous66_preconditionerType;anonymous66_solverType;anonymous67_preconditionerType;anonymous67_solverType;anonymous68_preconditionerType;anonymous68_solverType;anonymous69_preconditionerType;anonymous69_solverType;anonymous6_preconditionerType;anonymous6_solverType;anonymous70_preconditionerType;anonymous70_solverType;anonymous71_preconditionerType;anonymous71_solverType;anonymous72_preconditionerType;anonymous72_solverType;anonymous73_preconditionerType;anonymous73_solverType;anonymous74_preconditionerType;anonymous74_solverType;anonymous75_preconditionerType;anonymous75_solverType;anonymous76_preconditionerType;anonymous76_solverType;anonymous77_preconditionerType;anonymous77_solverType;anonymous78_preconditionerType;anonymous78_solverType;anonymous79_preconditionerType;anonymous79_solverType;anonymous7_preconditionerType;anonymous7_solverType;anonymous80_preconditionerType;anonymous80_solverType;anonymous81_preconditionerType;anonymous81_solverType;anonymous82_preconditionerType;anonymous82_solverType;anonymous83_preconditionerType;anonymous83_solverType;anonymous84_preconditionerType;anonymous84_solverType;anonymous85_preconditionerType;anonymous85_solverType;anonymous86_preconditionerType;anonymous86_solverType;anonymous87_preconditionerType;anonymous87_solverType;anonymous88_preconditionerType;anonymous88_solverType;anonymous89_preconditionerType;anonymous89_solverType;anonymous8_preconditionerType;anonymous8_solverType;anonymous90_preconditionerType;anonymous90_solverType;anonymous91_preconditionerType;anonymous91_solverType;anonymous92_preconditionerType;anonymous92_solverType;anonymous93_preconditionerType;anonymous93_solverType;anonymous94_preconditionerType;anonymous94_solverType;anonymous95_preconditionerType;anonymous95_solverType;anonymous96_preconditionerType;anonymous96_solverType;anonymous97_preconditionerType;anonymous97_solverType;anonymous98_preconditionerType;anonymous98_solverType;anonymous99_preconditionerType;anonymous99_solverType;anonymous9_preconditionerType;anonymous9_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;endTime;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nDofs;nElements;nInstancesComputedGlobally;nNodes;scenarioName;totalUsertime;~nDofs;~nDofsmesh3D;~nElements;~nElementsmesh3D;~nNodes;~nNodesmesh3D;
2024/7/3 14:28:00;lukas-VirtualBox-Ubuntu;opendihu 1.3, built Apr  4 2024, C++ 201402, GCC 11.4.0;1;0;0.000107267;100;0.0480886;101;0.225678;100;0.179439;2010;0.0195758;20;0.000552311;20;0.372091;40;0.00610838;7;4.581e-06;1;0.111973;10;0.00741934;40;5.1451e-05;6;0.105236;40;0.0115025;8;1.1678e-05;2;0.0484682;30;0.487511;40;6.024e-06;1;1.2697e-05;100;0.0165099;100;0.840938;291;0.488065;40;0.329411;30;0.0228298;20;0.030233;1000;0.0445592;499;3.48337;30;0.529027;10;3.35843;10;1.43701;10;0.114757;10;0.134247;10;0.106361;10;0.00412114;10;lu;preonly;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;none;gmres;1.000000;0.001;0.002;0.1;0.002;1;normal;;1086906368;4096;351211520;1376448512;27;1;100;27;incompressible_mooney_rivlin;6.77;100;1225;99;108;100;1225;
